"hosp_name","country","address"
"King Hamad University Hospital","Kingdom of Bahrain","Sheikh Isa bin Salman Bridge, Al Sayh, Busaiteen, Bahrain"
"Mayo Clinic","United States","4500 San Pablo Road, US"
"Bahrain Defence Force Hospital","Kingdom of Bahrain","Waly Alahed Avenue, West Riffa, Bahrain"
"Salamaniya Hospital","Kindgom of Bahrain","Salmaniya Medical Complex, Manama, Bahrain"
"St Thomas Hospital London","United Kingdom","Westminster Bridge Rd, London"
"King Faisal Specialist Hospital & Research Centre","Kingdom of Saudi Arabia","Al Mathar Ash Shamali, Riyadh 11564, Saudi Arabia"
"Al-Hilal Hospital","Kingdom of Bahrain","Al-Hilal Hospital, Muharraq, Bahrain"
"Emirates Hospital","United Arab Emirates","Jumeirah Beach Rd, Dubai, UAE"
"American Mission Hospital","Kingdom of Bahrain","Sheikh Essa Road, Manama, Bahrain"
"Dar Al Shifa Hospital","Kuwait","Beirut Street, Hawally, Kuwait"
